ID,Year,Month,Day,X,Date_,Hour,Minute,Second,Time_,Date,Spacecraft,Chave,Gaps
121,2010,6,21,06/21/2010,06/21/2010,6,0,0,6:00:00 AM,2010-06-21 06:00:00,STA,2010621600STA,6
323,2012,11,3,11/03/2012,11/03/2012,1,0,0,1:00:00 AM,2012-11-03 01:00:00,STA,2012113100STA,14
350,2013,1,1,01/01/2013,01/01/2013,5,0,0,5:00:00 AM,2013-01-01 05:00:00,STA,201311500STA,6
375,2013,2,21,02/21/2013,02/21/2013,7,0,0,7:00:00 AM,2013-02-21 07:00:00,STA,2013221700STA,12
380,2013,3,2,03/02/2013,03/02/2013,12,0,0,12:00:00 PM,2013-03-02 12:00:00,STA,2013321200STA,14
494,2013,11,7,11/07/2013,11/07/2013,11,0,0,11:00:00 AM,2013-11-07 11:00:00,STA,20131171100STA,6
582,2014,5,30,05/30/2014,05/30/2014,7,0,0,7:00:00 AM,2014-05-30 07:00:00,STA,2014530700STA,6
628,2014,9,12,09/12/2014,09/12/2014,7,0,0,7:00:00 AM,2014-09-12 07:00:00,STA,2014912700STA,6
664,2014,11,10,11/10/2014,11/10/2014,20,0,0,8:00:00 PM,2014-11-10 20:00:00,STA,201411102000STA,6
673,2014,12,2,12/02/2014,12/02/2014,6,0,0,6:00:00 AM,2014-12-02 06:00:00,STA,2014122600STA,6
680,2014,12,13,12/13/2014,12/13/2014,13,0,0,1:00:00 PM,2014-12-13 13:00:00,STA,201412131300STA,6
709,2016,1,10,01/10/2016,01/10/2016,19,0,0,7:00:00 PM,2016-01-10 19:00:00,STA,20161101900STA,6
748,2016,2,23,02/23/2016,02/23/2016,12,0,0,12:00:00 PM,2016-02-23 12:00:00,STA,20162231200STA,6
751,2016,2,26,02/26/2016,02/26/2016,15,0,0,3:00:00 PM,2016-02-26 15:00:00,STA,20162261500STA,6
803,2017,1,16,01/16/2017,01/16/2017,21,0,0,9:00:00 PM,2017-01-16 21:00:00,STA,20171162100STA,12
857,2017,8,1,08/01/2017,08/01/2017,6,0,0,6:00:00 AM,2017-08-01 06:00:00,STA,201781600STA,6
922,2017,5,15,05/15/2017,05/15/2017,24,0,0,12:00:00 AM,2017-05-15 00:00:00,STA,20175152400STA,5
931,2017,6,24,06/24/2017,06/24/2017,9,0,0,9:00:00 AM,2017-06-24 09:00:00,STA,2017624900STA,15
946,2017,7,9,07/09/2017,07/09/2017,24,0,0,12:00:00 AM,2017-07-09 00:00:00,STA,2017792400STA,5
949,2017,7,12,07/12/2017,07/12/2017,3,0,0,3:00:00 AM,2017-07-12 03:00:00,STA,2017712300STA,20
970,2017,8,16,08/16/2017,08/16/2017,24,0,0,12:00:00 AM,2017-08-16 00:00:00,STA,20178162400STA,5
994,2017,9,9,09/09/2017,09/09/2017,24,0,0,12:00:00 AM,2017-09-09 00:00:00,STA,2017992400STA,5
1009,2017,6,21,06/21/2017,06/21/2017,9,0,0,9:00:00 AM,2017-06-21 09:00:00,STA,2017621900STA,12
1024,2017,7,6,07/06/2017,07/06/2017,24,0,0,12:00:00 AM,2017-07-06 00:00:00,STA,2017762400STA,5
1044,2012,11,3,11/03/2012,11/03/2012,7,0,0,7:00:00 AM,2012-11-03 07:00:00,STA,2012113700STA,8
1074,2011,11,7,11/07/2011,11/07/2011,0,0,0,12:00:00 AM,2011-11-07 00:00:00,STA,2011117000STA,5
1082,2013,4,23,04/23/2013,04/23/2013,0,0,0,12:00:00 AM,2013-04-23 00:00:00,STA,2013423000STA,5
1116,2007,2,24,02/24/2007,02/24/2007,0,0,0,12:00:00 AM,2007-02-24 00:00:00,STA,2007224000STA,5
1123,2008,1,17,01/17/2008,01/17/2008,0,0,0,12:00:00 AM,2008-01-17 00:00:00,STA,2008117000STA,7
1128,2008,2,4,02/04/2008,02/04/2008,0,0,0,12:00:00 AM,2008-02-04 00:00:00,STA,200824000STA,4
1134,2008,1,28,01/28/2008,01/28/2008,0,0,0,12:00:00 AM,2008-01-28 00:00:00,STA,2008128000STA,7
1147,2008,11,17,11/17/2008,11/17/2008,0,0,0,12:00:00 AM,2008-11-17 00:00:00,STA,20081117000STA,5
1102,2007,2,14,02/14/2007,02/14/2007,16,0,0,4:00:00 PM,2007-02-14 16:00:00,STA,20072141600STA,6
1106,2007,3,21,03/21/2007,03/21/2007,0,0,0,12:00:00 AM,2007-03-21 00:00:00,STA,2007321000STA,5
1112,2007,3,29,03/29/2007,03/29/2007,0,0,0,12:00:00 AM,2007-03-29 00:00:00,STA,2007329000STA,7
1151,2009,1,3,01/03/2009,01/03/2009,0,0,0,12:00:00 AM,2009-01-03 00:00:00,STA,200913000STA,5
1154,2009,1,4,01/04/2009,01/04/2009,0,0,0,12:00:00 AM,2009-01-04 00:00:00,STA,200914000STA,5
1157,2009,2,12,02/12/2009,02/12/2009,0,0,0,12:00:00 AM,2009-02-12 00:00:00,STA,2009212000STA,7
