ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept
1000000,2007,1,14,1/14/2007,19,35,8,7:35:08 PM,2007-01-14 19:35:08,STEREO-A,STA,FF,SSC,200711419358STEREO-A,,0
2000000,2007,1,14,1/14/2007,20,1,27,8:01:27 PM,2007-01-14 20:01:27,STEREO-B,STB,FF,SSC,200711420127STEREO-B,,0
3000000,2007,2,12,2/12/2007,8,10,6,8:10:06 AM,2007-02-12 08:10:06,STEREO-A,STA,FF,SSC,20072128106STEREO-A,,0
4000000,2007,2,12,2/12/2007,8,39,13,8:39:13 AM,2007-02-12 08:39:13,STEREO-A,STA,FF,SSC,200721283913STEREO-A,,0
1646,2007,4,9,4/9/2007,2,1,21,2:01:21 AM,2007-04-09 02:01:21,STEREO-B,STB,FF,IPShock,2007492121STEREO-B,,0
1647,2007,4,21,4/21/2007,18,59,15,6:59:15 PM,2007-04-21 18:59:15,STEREO-A,STA,FF,IPShock,2007421185915STEREO-A,,0
5000000,2007,4,21,4/21/2007,18,59,15,6:59:15 PM,2007-04-21 18:59:15,STEREO-A,STA,FF,SSC,2007421185915STEREO-A,Repetido,1
6000000,2007,4,22,4/22/2007,6,9,28,6:09:28 AM,2007-04-22 06:09:28,STEREO-B,STB,FF,SSC,20074226928STEREO-B,,0
1648,2007,4,23,4/23/2007,6,53,44,6:53:44 AM,2007-04-23 06:53:44,STEREO-A,STA,FR,IPShock,200742365344STEREO-A,,0
7000000,2007,4,23,4/23/2007,6,53,44,6:53:44 AM,2007-04-23 06:53:44,STEREO-A,STA,FR,SSC,200742365344STEREO-A,Repetido,1
8000000,2007,4,23,4/23/2007,13,21,10,1:21:10 PM,2007-04-23 13:21:10,STEREO-B,STB,FR,SSC,2007423132110STEREO-B,,0
1651,2007,4,27,4/27/2007,23,31,20,11:31:20 PM,2007-04-27 23:31:20,STEREO-A,STA,FR,IPShock,2007427233120STEREO-A,,0
1652,2007,4,28,4/28/2007,13,5,0,1:05:00 PM,2007-04-28 13:05:00,STEREO-B,STB,FR,IPShock,20074281350STEREO-B,,0
1654,2007,5,7,5/7/2007,8,11,54,8:11:54 AM,2007-05-07 08:11:54,STEREO-A,STA,FF,IPShock,20075781154STEREO-A,,0
9000000,2007,5,7,5/7/2007,8,11,54,8:11:54 AM,2007-05-07 08:11:54,STEREO-A,STA,FF,SSC,20075781154STEREO-A,Repetido,1
10000000,2007,5,7,5/7/2007,9,42,49,9:42:49 AM,2007-05-07 09:42:49,STEREO-B,STB,FF,SSC,20075794249STEREO-B,,0
1657,2007,5,7,5/7/2007,9,42,49,9:42:49 AM,2007-05-07 09:42:49,STEREO-B,STB,FF,IPShock,20075794249STEREO-B,Repetido,1
1658,2007,5,8,5/8/2007,14,12,0,2:12:00 PM,2007-05-08 14:12:00,STEREO-B,STB,FR,IPShock,20075814120STEREO-B,,0
11000000,2007,5,17,5/17/2007,21,23,19,9:23:19 PM,2007-05-17 21:23:19,STEREO-B,STB,FF,SSC,2007517212319STEREO-B,,0
1659,2007,5,18,5/18/2007,16,28,58,4:28:58 PM,2007-05-18 16:28:58,STEREO-B,STB,FR,IPShock,2007518162858STEREO-B,,0
1660,2007,5,22,5/22/2007,1,59,45,1:59:45 AM,2007-05-22 01:59:45,STEREO-A,STA,FF,IPShock,200752215945STEREO-A,,0
1661,2007,5,22,5/22/2007,17,29,52,5:29:52 PM,2007-05-22 17:29:52,STEREO-B,STB,FF,IPShock,2007522172952STEREO-B,,0
12000000,2007,5,22,5/22/2007,17,29,52,5:29:52 PM,2007-05-22 17:29:52,STEREO-B,STB,FF,SSC,2007522172952STEREO-B,Repetido,1
13000000,2007,6,9,6/9/2007,13,15,50,1:15:50 PM,2007-06-09 13:15:50,STEREO-A,STA,FF,SSC,200769131550STEREO-A,,0
14000000,2007,6,10,6/10/2007,12,55,35,12:55:35 PM,2007-06-10 12:55:35,STEREO-A,STA,FR,SSC,2007610125535STEREO-A,,0
1664,2007,6,10,6/10/2007,12,55,35,12:55:35 PM,2007-06-10 12:55:35,STEREO-A,STA,FR,IPShock,2007610125535STEREO-A,Repetido,1
15000000,2007,7,4,7/4/2007,22,9,40,10:09:40 PM,2007-07-04 22:09:40,STEREO-A,STA,FR,SSC,20077422940STEREO-A,,0
1669,2007,7,10,7/10/2007,16,45,25,4:45:25 PM,2007-07-10 16:45:25,STEREO-B,STB,FF,IPShock,2007710164525STEREO-B,,0
16000000,2007,7,11,7/11/2007,7,44,45,7:44:45 AM,2007-07-11 07:44:45,STEREO-B,STB,FR,SSC,200771174445STEREO-B,,0
1670,2007,7,11,7/11/2007,7,44,45,7:44:45 AM,2007-07-11 07:44:45,STEREO-B,STB,FR,IPShock,200771174445STEREO-B,Repetido,1
17000000,2007,7,11,7/11/2007,20,22,26,8:22:26 PM,2007-07-11 20:22:26,STEREO-A,STA,FR,SSC,2007711202226STEREO-A,,0
1672,2007,7,11,7/11/2007,20,22,26,8:22:26 PM,2007-07-11 20:22:26,STEREO-A,STA,FR,IPShock,2007711202226STEREO-A,Repetido,1
18000000,2007,7,13,7/13/2007,22,0,30,10:00:30 PM,2007-07-13 22:00:30,STEREO-B,STB,FF,SSC,200771322030STEREO-B,,0
1673,2007,7,13,7/13/2007,22,0,30,10:00:30 PM,2007-07-13 22:00:30,STEREO-B,STB,FF,IPShock,200771322030STEREO-B,Repetido,1
1674,2007,7,20,7/20/2007,1,22,15,1:22:15 AM,2007-07-20 01:22:15,STEREO-B,STB,FF,IPShock,200772012215STEREO-B,,0
19000000,2007,7,20,7/20/2007,1,22,15,1:22:15 AM,2007-07-20 01:22:15,STEREO-B,STB,FF,SSC,200772012215STEREO-B,Repetido,1
1682,2007,8,6,8/6/2007,22,8,15,10:08:15 PM,2007-08-06 22:08:15,STEREO-B,STB,FR,IPShock,20078622815STEREO-B,,0
1688,2007,8,10,8/10/2007,16,39,10,4:39:10 PM,2007-08-10 16:39:10,STEREO-B,STB,FR,IPShock,2007810163910STEREO-B,,0
20000000,2007,8,10,8/10/2007,16,39,10,4:39:10 PM,2007-08-10 16:39:10,STEREO-B,STB,FR,SSC,2007810163910STEREO-B,Repetido,1
21000000,2007,8,14,8/14/2007,16,31,4,4:31:04 PM,2007-08-14 16:31:04,STEREO-B,STB,FF,SSC,200781416314STEREO-B,,0
1689,2007,8,20,8/20/2007,6,58,34,6:58:34 AM,2007-08-20 06:58:34,STEREO-A,STA,FR,IPShock,200782065834STEREO-A,,0
1690,2007,8,24,8/24/2007,14,16,33,2:16:33 PM,2007-08-24 14:16:33,STEREO-B,STB,FF,IPShock,2007824141633STEREO-B,,0
22000000,2007,8,24,8/24/2007,14,16,33,2:16:33 PM,2007-08-24 14:16:33,STEREO-B,STB,FF,SSC,2007824141633STEREO-B,Repetido,1
1691,2007,8,25,8/25/2007,20,30,1,8:30:01 PM,2007-08-25 20:30:01,STEREO-A,STA,FF,IPShock,200782520301STEREO-A,,0
23000000,2007,8,25,8/25/2007,20,30,1,8:30:01 PM,2007-08-25 20:30:01,STEREO-A,STA,FF,SSC,200782520301STEREO-A,Repetido,1
1695,2007,9,2,9/2/2007,0,9,16,12:09:16 AM,2007-09-02 00:09:16,STEREO-B,STB,FR,IPShock,2007920916STEREO-B,,0
24000000,2007,9,2,9/2/2007,0,9,16,12:09:16 AM,2007-09-02 00:09:16,STEREO-B,STB,FR,SSC,2007920916STEREO-B,Repetido,1
25000000,2007,9,13,9/13/2007,18,34,19,6:34:19 PM,2007-09-13 18:34:19,STEREO-B,STB,FF,SSC,2007913183419STEREO-B,,0
26000000,2007,9,15,9/15/2007,1,54,35,1:54:35 AM,2007-09-15 01:54:35,STEREO-A,STA,FF,SSC,200791515435STEREO-A,,0
1697,2007,9,15,9/15/2007,15,35,3,3:35:03 PM,2007-09-15 15:35:03,STEREO-A,STA,FR,IPShock,200791515353STEREO-A,,0
27000000,2007,9,15,9/15/2007,15,35,3,3:35:03 PM,2007-09-15 15:35:03,STEREO-A,STA,FR,SSC,200791515353STEREO-A,Repetido,1
1698,2007,9,19,9/19/2007,18,15,3,6:15:03 PM,2007-09-19 18:15:03,STEREO-B,STB,FF,IPShock,200791918153STEREO-B,,0
28000000,2007,9,19,9/19/2007,18,15,3,6:15:03 PM,2007-09-19 18:15:03,STEREO-B,STB,FF,SSC,200791918153STEREO-B,Repetido,1
1703,2007,9,23,9/23/2007,11,31,58,11:31:58 AM,2007-09-23 11:31:58,STEREO-A,STA,FR,IPShock,2007923113158STEREO-A,,0
29000000,2007,9,23,9/23/2007,11,31,58,11:31:58 AM,2007-09-23 11:31:58,STEREO-A,STA,FR,SSC,2007923113158STEREO-A,Repetido,1
1705,2007,9,28,9/28/2007,5,53,26,5:53:26 AM,2007-09-28 05:53:26,STEREO-B,STB,FR,IPShock,200792855326STEREO-B,,0
30000000,2007,9,28,9/28/2007,5,53,26,5:53:26 AM,2007-09-28 05:53:26,STEREO-B,STB,FR,SSC,200792855326STEREO-B,Repetido,1
1707,2007,9,29,9/29/2007,7,54,21,7:54:21 AM,2007-09-29 07:54:21,STEREO-B,STB,FR,IPShock,200792975421STEREO-B,,0
1708,2007,9,30,9/30/2007,11,9,5,11:09:05 AM,2007-09-30 11:09:05,STEREO-A,STA,FR,IPShock,20079301195STEREO-A,,0
31000000,2007,9,30,9/30/2007,11,9,5,11:09:05 AM,2007-09-30 11:09:05,STEREO-A,STA,FR,SSC,20079301195STEREO-A,Repetido,1
32000000,2007,10,18,10/18/2007,16,46,12,4:46:12 PM,2007-10-18 16:46:12,STEREO-A,STA,FF,SSC,20071018164612STEREO-A,,0
1711,2007,10,25,10/25/2007,11,6,9,11:06:09 AM,2007-10-25 11:06:09,STEREO-B,STB,FR,IPShock,200710251169STEREO-B,,0
1715,2007,11,9,11/9/2007,0,10,8,12:10:08 AM,2007-11-09 00:10:08,STEREO-B,STB,FF,IPShock,20071190108STEREO-B,,0
33000000,2007,11,9,11/9/2007,0,10,8,12:10:08 AM,2007-11-09 00:10:08,STEREO-B,STB,FF,SSC,20071190108STEREO-B,Repetido,1
