ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept,Gap
1000000,2007,1,14,39096,19,35,8,"0,8160648148","39096,81606",STEREO-A,STA,FF,SSC,200711419358STEREO-A,,0,1
2000000,2007,1,14,39096,20,1,27,"0,8343402778","39096,83434",STEREO-B,STB,FF,SSC,200711420127STEREO-B,,0,1
3000000,2007,2,12,39125,8,10,6,"0,3403472222","39125,34035",STEREO-A,STA,FF,SSC,20072128106STEREO-A,,0,1
4000000,2007,2,12,39125,8,39,13,"0,3605671296","39125,36057",STEREO-A,STA,FF,SSC,200721283913STEREO-A,,0,1
1651,2007,4,27,39199,23,31,20,"0,9800925926","39199,98009",STEREO-A,STA,FR,IPShock,2007427233120STEREO-A,,0,1
1688,2007,8,10,39304,16,39,10,"0,6938657407","39304,69387",STEREO-B,STB,FR,IPShock,2007810163910STEREO-B,,0,1
1695,2007,9,2,39327,0,9,16,"0,006435185185","39327,00644",STEREO-B,STB,FR,IPShock,2007920916STEREO-B,,0,1
1697,2007,9,15,39340,15,35,3,"0,6493402778","39340,64934",STEREO-A,STA,FR,IPShock,200791515353STEREO-A,,0,1
1715,2007,11,9,39395,0,10,8,"0,007037037037","39395,00704",STEREO-B,STB,FF,IPShock,20071190108STEREO-B,,0,1
35000000,2007,12,8,39424,23,2,3,"0,9597569444","39424,95976",STEREO-B,STB,FF,SSC,20071282323STEREO-B,,0,1
36000000,2007,12,16,39432,0,16,34,"0,01150462963","39432,0115",STEREO-B,STB,FF,SSC,2007121601634STEREO-B,,0,1
1726,2008,2,9,39487,18,42,7,"0,7792476852","39487,77925",STEREO-B,STB,FR,IPShock,20082918427STEREO-B,,0,1
1728,2008,3,7,39514,0,14,24,"0,01","39514,01",STEREO-B,STB,FR,IPShock,20083701424STEREO-B,,0,1
47000000,2008,5,11,39579,6,31,9,"0,2716319444","39579,27163",STEREO-A,STA,FF,SSC,20085116319STEREO-A,,0,1
49000000,2008,5,21,39589,0,41,35,"0,02887731481","39589,02888",STEREO-A,STA,FF,SSC,200852104135STEREO-A,,0,1
1750,2008,7,5,39634,0,47,53,"0,03325231481","39634,03325",STEREO-A,STA,FF,IPShock,20087504753STEREO-A,,0,1
1754,2008,7,21,39650,10,30,37,"0,4379282407","39650,43793",STEREO-B,STB,FR,IPShock,2008721103037STEREO-B,,0,1
1765,2008,9,16,39707,13,49,29,"0,5760300926","39707,57603",STEREO-A,STA,FF,IPShock,2008916134929STEREO-A,,0,1
66000000,2008,11,9,39761,0,38,48,"0,02694444444","39761,02694",STEREO-A,STA,FF,SSC,200811903848STEREO-A,,0,1
67000000,2008,11,21,39773,21,16,58,"0,8867824074","39773,88678",STEREO-B,STB,FF,SSC,20081121211658STEREO-B,,0,1
1783,2009,1,2,39815,20,8,0,"0,8388888889","39815,83889",STEREO-A,STA,FF,IPShock,2009122080STEREO-A,,0,1
1797,2009,2,18,39862,1,54,55,"0,07980324074","39862,0798",STEREO-A,STA,FR,IPShock,200921815455STEREO-A,,0,1
1805,2009,3,10,39882,14,47,34,"0,6163657407","39882,61637",STEREO-B,STB,FR,IPShock,2009310144734STEREO-B,,0,1
